method,seq_len,embed_dim,window_radius,runs,q_proj_median_ms,q_proj_p95_ms,k_proj_median_ms,k_proj_p95_ms,v_proj_median_ms,v_proj_p95_ms,scores_median_ms,scores_p95_ms,softmax_median_ms,softmax_p95_ms,output_median_ms,output_p95_ms,attention_total_median_ms,attention_total_p95_ms,total_median_ms,total_p95_ms,score_entries,valid_score_entries,score_tensor_mb,valid_score_math_mb,qk_dot_scalar_work,gpu_peak_median_mb,gpu_peak_p95_mb
full,64,128,-1,5,0.16985833644866943,0.18100589513778687,0.16085058450698853,0.16486942768096924,0.15707314014434814,0.18059462308883667,0.2630949020385742,0.2788335084915161,0.11496245861053467,0.13474971055984497,0.1623108983039856,0.1716122031211853,0.5417615175247192,0.5843445658683777,1.032322645187378,1.1064812541007996,4096,4096,0.015625,0.015625,524288,8.50048828125,8.50048828125
sliding_r2,64,128,2,5,0.16845017671585083,0.1814424991607666,0.15994906425476074,0.174829363822937,0.15469640493392944,0.1604318618774414,0.5909353494644165,0.6047606468200684,0.1177564263343811,0.13033002614974976,0.30227750539779663,0.3101930022239685,1.0039731860160828,1.0350123047828674,1.5097782015800476,1.5267372131347656,320,314,0.001220703125,0.00119781494140625,40192,8.787109375,8.787109375
full,128,128,-1,5,0.16510486602783203,0.18945038318634033,0.1565888524055481,0.1605302095413208,0.1533031463623047,0.15711337327957153,0.25597214698791504,0.2684786915779114,0.11831521987915039,0.14211535453796387,0.15854090452194214,0.16378909349441528,0.5252808332443237,0.5687817931175232,0.9992867708206177,1.0699361562728882,16384,16384,0.0625,0.0625,2097152,8.75048828125,8.75048828125
sliding_r2,128,128,2,5,0.167064368724823,0.17362385988235474,0.1527443528175354,0.1664191484451294,0.15316158533096313,0.1592889428138733,0.5999431014060974,0.6088510155677795,0.11496245861053467,0.12070387601852417,0.3279075026512146,0.3321722149848938,1.039952039718628,1.0577589273452759,1.53331458568573,1.535181701183319,640,634,0.00244140625,0.00241851806640625,81152,9.2607421875,9.2607421875
full,256,128,-1,5,0.16175955533981323,0.18500089645385742,0.14708936214447021,0.15471279621124268,0.1527443528175354,0.30286461114883423,0.2508088946342468,0.2721816301345825,0.11160969734191895,0.14538317918777466,0.16992539167404175,0.18965303897857666,0.5346387624740601,0.6055131554603577,1.0044649243354797,1.1682569980621338,65536,65536,0.25,0.25,8388608,9.43798828125,9.43798828125
sliding_r2,256,128,2,5,0.16035884618759155,0.16313940286636353,0.15141814947128296,0.15454590320587158,0.15134364366531372,0.15340149402618408,0.5705356597900391,0.5770951509475708,0.11014193296432495,0.11227577924728394,0.532194972038269,0.5463749170303345,1.214057207107544,1.2221038341522217,1.6795620322227478,1.6835197806358337,1280,1274,0.0048828125,0.00485992431640625,163072,10.20849609375,10.20849609375
full,512,128,-1,5,0.17606467008590698,0.19281357526779175,0.1697838306427002,0.18159747123718262,0.16190111637115479,0.1763463020324707,0.48357993364334106,0.5174115300178528,0.11593848466873169,0.12960880994796753,0.17320364713668823,0.19531548023223877,0.772722065448761,0.8417949080467224,1.2647658586502075,1.3925522565841675,262144,262144,1.0,1.0,33554432,11.56298828125,11.56298828125
sliding_r2,512,128,2,5,0.18969178199768066,0.1904800534248352,0.17461180686950684,0.17783939838409424,0.17502158880233765,0.17541497945785522,0.6561651825904846,0.6778404116630554,0.12872368097305298,0.13976842164993286,0.3434792160987854,0.3491833806037903,1.1289194226264954,1.1568456888198853,1.6669929027557373,1.6990572214126587,2560,2554,0.009765625,0.00974273681640625,326912,12.10400390625,12.10400390625
full,1024,128,-1,5,0.19360333681106567,0.24533718824386594,0.17977505922317505,0.18565356731414795,0.4196837544441223,0.42360126972198486,0.291384756565094,0.33780187368392944,0.12920796871185303,0.1719161868095398,0.19590556621551514,0.21684467792510986,0.6222128868103027,0.7252365350723267,1.4128908514976501,1.5750110149383545,1048576,1048576,4.0,4.0,134217728,18.81396484375,18.81396484375
sliding_r2,1024,128,2,5,0.19297748804092407,0.19561350345611572,0.17830729484558105,0.19973814487457275,0.41688233613967896,0.4241332411766052,0.669918954372406,0.6731212139129639,0.12969970703125,0.13410747051239014,0.3491416573524475,0.3579437732696533,1.1511370539665222,1.1550605297088623,1.9360855221748352,1.9650936126708984,5120,5114,0.01953125,0.01950836181640625,654592,15.8955078125,15.8955078125
